id,name_th,name_en,province,region,style,budget_range,crowd_level,hidden_gem_score,tags,description
place_001,,ENDURO MADNESS DIRT BIKE TOURS PATTAYA THAILAND,Chonburi,central,adventure,mid,7,0.37,"hidden_gem, chonburi, adventure","ENDURO MADNESS offers guided off-road dirt bike tours through Chonburi's rugged countryside, catering to both beginners and experienced riders with well-maintained bikes and safety briefings. With a near-perfect rating of 4.9 from over 400 reviews, it is consistently ranked among the top adventure activities in the Pattaya�Chonburi region."
place_002,,Thung Makham Miami Beach Chumphon,Chumphon,south,beach,low,7,0.55,"hidden_gem, chumphon, beach","Thung Makham beach in Chumphon is a sweeping arc of soft sand flanked by casuarina trees, earning its informal nickname from locals who compare its long, open shoreline to Miami Beach. It remains largely undeveloped and uncrowded, making it one of the most unspoiled coastal stretches in Chumphon for travellers seeking quiet and natural beauty."
place_003,,Khao Kaen Chan,Ratchaburi,central,scenic,low,7,0.33,"hidden_gem, ratchaburi, mountain, scenic","Khao Kaen Chan is a historically significant hill in Ratchaburi topped by ancient Buddhist chedis and cave shrines that date back to the Dvaravati period, offering both spiritual significance and sweeping views of the surrounding plains. The site is rarely crowded, making it a rewarding destination for history enthusiasts and hikers who prefer authentic heritage over tourist infrastructure."
place_004,,Heavenly Valley,Ratchaburi,central,nature,low,7,0.34,"hidden_gem, ratchaburi, nature","Nestled in Ratchaburi, Heavenly Valley is a scenic spot. It features lush greenery."
place_005,,The Old Town Ratchaburi,Ratchaburi,central,historical,low,7,0.35,"hidden_gem, ratchaburi, old town, historical","A revitalised century-old market district in central Ratchaburi, The Old Town Ratchaburi features vintage shophouses converted into artisan caf�s, boutique stores, and photogenic alleyways that blend heritage with modern creativity. Open primarily on weekends and set beside the Mae Klong River, it is an emerging local landmark popular with younger Thais seeking street food and a nostalgic atmosphere."
place_006,,Wat Khlong Suwankhiri,Ratchaburi,central,historical,low,7,0.36,"hidden_gem, ratchaburi, temple, historical","Nestled near a river, Wat Khlong Suwankhiri is a serene temple. Natural surroundings enhance its beauty."
place_007,,Chonburi Mountain Camp,Chonburi,central,scenic,low,7,0.3,"hidden_gem, chonburi, mountain, camping, scenic","Naturally scenic, Chonburi Mountain Camp is a 4.4-rated campground. Surrounded by mountains, it has 412 reviews."
place_008,,G&G Ratchaburi,Ratchaburi,central,cafe,mid,7,0.41,"hidden_gem, ratchaburi, cafe","Located downtown, G&G Ratchaburi serves coffee. Rated 4.5/5, it's a popular cafe."
place_009,,Ratchaburi Grand Canyon,Ratchaburi,central,nature,low,7,0.16,"hidden_gem, ratchaburi, nature",Naturally formed Ratchaburi Grand Canyon boasts unique rock formations. Stunning views attract visitors with 4.2/5 rating.
place_010,,Khao Sam Muk Viewpoint,Chonburi,central,scenic,low,7,0.39,"hidden_gem, chonburi, viewpoint, mountain, scenic","A 45-metre limestone hill between Ang Sila and Bang Saen Beach, Khao Sam Muk is home to over 300 wild Rhesus monkeys and a hilltop Chinese shrine of Mazu offering panoramic views of the Gulf of Thailand. Local legend tells of a young woman named Sam Muk whose spirit now protects the area's fishermen � visitors traditionally offer kites at her shrine to give thanks for granted wishes."
place_011,,Khao Dinsor Viewpoint,Chumphon,south,scenic,low,5,0.5,"hidden_gem, chumphon, viewpoint, mountain, scenic","Perched atop a hill, Khao Dinsor offers panoramic views. Surrounded by lush greenery, it is a 4.5-star scenic spot."
place_012,,Laem Hua Mong-Kho Kwang Viewpoint,Chumphon,south,scenic,low,5,0.47,"hidden_gem, chumphon, viewpoint, scenic","A coastal headland viewpoint in Chumphon offering sweeping panoramas over the Gulf of Thailand, Laem Hua Mong is prized for its dramatic seascape where rocky promontories meet turquoise water, best appreciated at sunrise. The site sees relatively few foreign visitors, preserving a genuine sense of discovery for travellers exploring Chumphon's lesser-known southern coastline."
place_013,,Rub Lom Chom Klong Homestay,Chumphon,south,accommodation,mid,5,0.71,"hidden_gem, chumphon, homestay, accommodation","Rub Lom Chom Klong is a riverside homestay in Chumphon province, rated 4.8 out of 5 by guests for its warm hospitality and authentic rural atmosphere along a shaded canal. Staying here offers travellers a genuine glimpse of southern Thai village life, with boat trips, fresh local food, and the sounds of nature replacing the noise of tourist infrastructure."
place_014,,Khao Talu Miti,Ratchaburi,central,scenic,low,5,0.56,"hidden_gem, ratchaburi, mountain, scenic","Naturally, Khao Talu Miti boasts stunning caves. Located in Ratchaburi, it offers scenic views."
place_015,,The Backyard Suwanpeng,Ratchaburi,central,nature,low,5,0.7,"hidden_gem, ratchaburi, nature","A scenic garden retreat nestled in Suan Phueng district, Ratchaburi, The Backyard offers visitors lush greenery, shaded walkways, and relaxed caf� seating surrounded by flowering plants and hillside views. It is a popular weekend escape for Bangkok residents looking for a quiet, photogenic setting within a two-hour drive of the capital."
place_016,,ease coffee,Ratchaburi,central,cafe,mid,5,0.71,"hidden_gem, ratchaburi, cafe","Ease Coffee is a well-regarded specialty caf� in Ratchaburi renowned for its carefully sourced beans and relaxed garden atmosphere that draws both locals and passing travellers. With a rating of 4.7 out of 5, it is one of the most consistently praised coffee spots in the province and a favourite stop on the Ratchaburi caf� trail."
place_017,อ่าวสะพลี,Ao Saplee,Chumphon,south,nature,low,5,0.67,"hidden_gem, chumphon, nature","Saphli Beach (Hat Saphli) is a clean, tranquil bay in Pathio District, Chumphon, recognised as one of Thailand's cleanest beaches in 2017 and maintained through weekly clean-ups organised by local fishing families. Its calm, clear waters and uncrowded shoreline make it an ideal spot for swimming and relaxation, far from the busier beaches of the Gulf islands."
place_018,,The Royal Monument of King Rama I,Ratchaburi,central,historical,low,5,0.7,"hidden_gem, ratchaburi, monument, historical","Naturally surrounded by trees, this monument honors King Rama I. It has a 4.6/5 rating from 159 reviews."
place_019,,Pharadonphap Beach,Chumphon,south,beach,low,5,0.5,"hidden_gem, chumphon, beach","Naturally, Pharadonphap shines with clear waters. Soft sand lines this 4.2/5 beach."
place_020,,Chaloem Phra Kiat Rachini Park,Chonburi,central,nature,low,5,0.53,"hidden_gem, chonburi, nature","Naturally, Chaloem Phra Kiat Rachini Park boasts lush greenery. Located in Chonburi, it has a 4.2/5 rating."
place_021,,Alex face wall,Yala,south,nature,low,5,0.6,"hidden_gem, yala, nature","Naturally formed, Alex face wall is a rock face. Located in Yala, Thailand, it has a 4.2 rating."
place_022,,Mysterious hole,Chonburi,central,nature,low,3,0.69,"hidden_gem, chonburi, nature","Naturally formed, this 4.4/5-rated hole fascinates visitors. Located in Chonburi, Thailand, it has 134 reviews."
place_023,,Hell Buddha Garden,Chonburi,central,nature,low,3,0.67,"hidden_gem, chonburi, nature","Wang Saen Suk Hell Garden in Chonburi is a striking open-air sculpture park depicting vivid scenes of Buddhist hell, designed as a moral teaching tool with life-size figures of sinners undergoing punishment. Free to enter and open daily, it is one of Thailand's most unusual roadside attractions � both unsettling and fascinating for curious visitors."
place_024,,Ong Mangkorn Ratchaburi or Dragon's Pot of Ratchaburi,Ratchaburi,central,nature,low,3,0.82,"hidden_gem, ratchaburi, nature",Naturally formed Dragon Jar is a unique site. It has a 4.7/5 rating from 83 reviews.
place_025,,Saphli Beach,Chumphon,south,beach,low,3,0.72,"hidden_gem, chumphon, beach","Saphli Beach (Hat Saphli) is a clean, tranquil bay in Pathio District, Chumphon, recognised as one of Thailand's cleanest beaches in 2017 and maintained through weekly clean-ups organised by local fishing families. Its calm, clear waters and uncrowded shoreline make it an ideal spot for swimming and relaxation, far from the busier beaches of the Gulf islands."
place_026,,Khao Phang Pang Viewpoint,Chumphon,south,scenic,low,3,0.69,"hidden_gem, chumphon, viewpoint, mountain, scenic","Khao Phang Pang is a rugged hilltop viewpoint in Chumphon province rewarding hikers with expansive views over jungle-covered ridges and the distant Gulf of Thailand coastline. With only 122 Google reviews, it remains genuinely off the beaten path � a peaceful vantage point that sees a fraction of the visitors drawn to Chumphon's better-known beaches."
place_027,,Khao Phang Forest Park,Chumphon,south,nature,low,3,0.77,"hidden_gem, chumphon, mountain, forest, nature","Naturally beautiful Khao Phang Forest Park boasts lush greenery. Located in Chumphon, it offers hiking trails."
place_028,,Amata Castle,Chonburi,central,nature,low,3,0.7,"hidden_gem, chonburi, nature","Amata Castle is a striking European-style castle complex in Chonburi, built as a private estate and now open as an unusual landmark surrounded by ornamental gardens and reflecting pools. Its distinctive architecture makes it a popular photography destination, particularly unusual against the backdrop of Thailand's central plains."
place_029,จุดชมวิวเขางู,Ngu Khao Viewpoint,Ratchaburi,central,nature,low,3,0.84,"hidden_gem, ratchaburi, nature","A former limestone quarry transformed into a serene public park just 8 km from Ratchaburi city, Khao Ngu Stone Park features dramatic cliffs, a lake with suspension bridges, and ancient Buddhist caves housing Dvaravati-era carvings dating from the 6th�11th centuries. Free to enter and open daily, it offers paddle-boat rentals, scenic walking trails, and spectacular firefly sightings at dusk in winter months."
place_030,,Black Railway Bridge,Yala,south,scenic,low,3,0.71,"hidden_gem, yala, bridge, scenic","Spanning waterways, Black Railway Bridge offers scenic views. Rated 4.3/5, it has 109 reviews."
place_031,,Chumphon Fishing Resort Thailand,Chumphon,south,activity,mid,3,0.9,"hidden_gem, chumphon, fishing, activity","Obviously, fishing enthusiasts love Chumphon Fishing Resort. It offers exciting fishing activities with a 4.9/5 rating."
place_032,,Chon Buri City Exercise Park,Chonburi,central,nature,low,3,0.74,"hidden_gem, chonburi, nature","Naturally, Chon Buri City Exercise Park is a serene spot. Located, it has 87 reviews with 4.3 rating."
place_033,,YALA Bird CITY STREET ART,Yala,south,art,low,3,0.84,"hidden_gem, yala, street art, art",Vibrant murals adorn Yala's streets. This 4.6/5 art museum features modern street art.
place_034,สวนศรีเมือง,Sri Mueang Park,Yala,south,nature,low,3,0.76,"hidden_gem, yala, nature",Naturally stunning Sri Meuang Garden features flora. Visitors enjoy the scenery.
place_035,,Yala City Museum,Yala,south,historical,low,2,0.91,"hidden_gem, yala, historical","Historically significant, Yala City Museum showcases the city's history. Rated 4.8/5, it features exhibits."
place_036,,Tham Sin (Tham Khuha Phimuk),Yala,south,scenic,low,2,0.83,"hidden_gem, yala, cave, scenic","Naturally stunning, Tham Sin features caverns. Located in Yala, it has a 4.5/5 rating."
place_037,วิวเชิงเขา หน้าถ้ำ,View at the Foot of the Mountain in Front of the Cave,Yala,south,nature,low,2,0.81,"hidden_gem, yala, nature","Located in Yala, this spot offers scenic views. It has a 4.4/5 rating from 49 reviews."
place_038,,KlanKlaow space,Chumphon,south,nature,low,2,0.91,"hidden_gem, chumphon, nature","Naturally scenic KlanKlaow space boasts stunning views. Located in Chumphon, it has a 4.8/5 rating."
place_039,,Wat Haitangma (Three-Muk Mountain),Chonburi,central,scenic,low,2,0.89,"hidden_gem, chonburi, mountain, temple, scenic","Historically, Wat Haitangma is a Buddhist temple. Located in Chonburi, it has a 4.7/5 rating."
place_040,,100 lebih jenih kuih pagi di bandar Yala Thailand,Yala,south,cafe,mid,2,0.92,"hidden_gem, yala, cafe","Naturally, this bakery serves delicious treats. Offering a 4.8/5 rating, it's a popular cafe."
place_041,,Chumphon River Mouth Street Art (New),Chumphon,south,art,low,2,0.92,"hidden_gem, chumphon, street art, art","Naturally, Chumphon River Mouth Street Art fascinates. Gorgeous murals adorn walls near the river."
place_042,,Chang Phuak Clock Tower,Yala,south,nature,low,2,0.85,"hidden_gem, yala, nature","Naturally, Chang Phuak Clock Tower is a serene city park. Surrounded by greenery, it has a 4.5/5 rating from 38 reviews."
place_043,,Hidden,Yala,south,cafe,mid,2,0.9,"hidden_gem, yala, cafe","Hidden is a speciality caf� in Yala city with a deliberately understated identity, known among locals for its carefully crafted coffee, minimalist interior design, and relaxed pace that contrasts with the city's busy street life. Its high rating of 4.7 out of 5 reflects a loyal following, and it represents the growing independent caf� culture emerging in Yala."
place_044,,Ruan 44 Cafe or Forty-Four House Cafe,Chumphon,south,cafe,mid,2,0.9,"hidden_gem, chumphon, cafe","Ruan 44 Caf� is a charming heritage-style coffee house in Chumphon, set in a restored traditional Thai wooden house and highly regarded locally for its relaxed atmosphere and quality beverages. Its blend of old-world architecture and specialty coffee makes it a favourite rest stop for both locals and travellers passing through the province."
place_045,ประติมากรรมเด็กดิน ริมน้ำราชบุรี,Earth Child Sculpture by Ratchaburi River,Ratchaburi,central,nature,low,2,0.85,"hidden_gem, ratchaburi, nature",Naturally beautiful sculptures adorn this site. Serene river views complement the art.
place_046,,Fa Tho Cave,Ratchaburi,central,scenic,low,2,0.81,"hidden_gem, ratchaburi, cave, scenic","Naturally stunning, Fa Tho Cave features unique formations. Located in Ratchaburi, it has a 4.3/5 rating."
place_047,ตลาดต้องชม แลผาหน้าถ้ำ,Talad Tong Chom Lae Pha Na Tham Market,Yala,south,local_market,low,2,0.74,"hidden_gem, yala, local_market","Located in Yala, this flea market offers local goods. It has a 4/5 rating from 42 reviews."
place_048,,Sa La To Waterfall,Yala,south,nature,low,2,0.75,"hidden_gem, yala, nature","Naturally, Namtok Sao Lat To park is serene. Surrounded by greenery, it has a 4/5 rating."
place_049,,Khao Noi Cave,Chumphon,south,scenic,low,2,0.85,"hidden_gem, chumphon, cave, mountain, scenic","Naturally stunning, Khao Noi Cave features unique formations. Located in Chumphon, it has a 4.4/5 rating."
place_050,ป้ายสวนขวัญเมือง,Khwan Mueang Garden Park,Yala,south,nature,low,2,0.83,"hidden_gem, yala, nature",Naturally beautiful Khwam Muang Park features lush greenery. It has a 4.3/5 rating from 23 reviews.
place_051,,Khao Tho Sa Hea Mine Viewpoint,Yala,south,scenic,low,2,0.78,"hidden_gem, yala, viewpoint, mountain, scenic","Khao Tho Sa Hea is a former mine-turned-scenic viewpoint in Yala province, offering elevated views over the surrounding lowlands and forest-covered hills of Thailand's deep south. Relatively unknown outside the region, this quiet hilltop rewards visitors with solitude and a perspective on Yala's rugged interior that few tourists encounter."
place_052,,The Red Rock of Pha Dang,Chumphon,south,scenic,low,2,0.85,"hidden_gem, chumphon, scenic","Located in Chumphon, this scenic spot boasts stunning views. Beautiful red rock formations attract visitors."
place_053,,PYN Mount.Camping,Yala,south,adventure,mid,2,0.92,"hidden_gem, yala, camping, adventure","PYN Mount Camping is a highland camping ground in Yala province combining outdoor adventure with a caf� setting, popular with Thai travellers for its cool air, forest views, and stargazing potential at night. It offers tent pitches and basic facilities on a forested hillside, catering to travellers seeking an accessible taste of wilderness in southern Thailand."
place_054,ตึกมหาราช,Tuk Mahachai or The Great King's Mansion,Chonburi,central,nature,low,2,0.81,"hidden_gem, chonburi, nature","Set within a lush public garden in Chonburi, this ornate pavilion complex serves as a peaceful retreat where locals gather for morning exercise and evening walks along shaded lakeside paths. The grounds feature traditional Thai architectural details and are free to enter, making them a quiet escape from the city."
place_055,,Yala City Art,Yala,south,art,low,2,0.81,"hidden_gem, yala, street art, art","Located in Yala, City Art features nature-inspired sculptures. Rated 4.1/5, it's a popular attraction."
place_056,,Hidden Tree by safree uchami,Yala,south,cafe,mid,2,0.99,"hidden_gem, yala, cafe","Hidden Tree by Safree Uchami is a boutique caf� in Yala tucked behind lush tropical foliage, offering a serene garden setting that draws visitors seeking a quiet escape from the city. Its perfect five-star rating, despite very few reviews, points to an intimate and carefully curated experience that rewards those who seek it out."
place_057,,Street Art Pak Nam Chumphon (Dream),Chumphon,south,art,low,2,0.91,"hidden_gem, chumphon, street art, art",Naturally scenic Chumphon River Mouth Street Art features vibrant murals. Beautiful views surround this 4.6-rated attraction.
place_058,,Sor La To Waterfall,Yala,south,nature,low,2,0.87,"hidden_gem, yala, nature","Naturally, Soh Latoh Waterfall is a 4.4/5 rated attraction. Beautiful scenery surrounds it."
place_059,,"Yala City Viewpoint at Hua Lan Hill, Yala Agricultural Research and Development Center",Yala,south,nature,low,2,1,"hidden_gem, yala, nature","Naturally, sunrise and sunset views are stunning. Spectacular scenery earns 5/5 stars from 3 reviews."
place_060,,The Dragon or Mangkon Phuyong,Chumphon,south,nature,low,2,0.94,"hidden_gem, chumphon, nature",The Dragon Mangkorn Phayong is a striking roadside landmark in Chumphon featuring a large intricately sculpted dragon statue of cultural and spiritual significance to the local Chinese-Thai community. It draws visitors curious about southern Thailand's Sino-Thai heritage and serves as a popular photography stop near the provincial capital.
place_061,,Bado Glade,Yala,south,nature,low,2,0.79,"hidden_gem, yala, nature","Naturally, Bado Glade is a state park. Located in Yala, it has a 4/5 rating from 4 reviews."
place_062,,Khang Cave,Ratchaburi,central,nature,low,2,1,"hidden_gem, ratchaburi, nature","Remarkably, Khang Cave features stunning rock formations. Visitors highly rate this Ratchaburi attraction."
place_063,,The Gift of Happiness,Chumphon,south,nature,low,2,1,"hidden_gem, chumphon, nature","Naturally, Chumphon's scenic views shine. Beautiful landscapes surround this 5/5 rated attraction."
place_064,บ้านหมายักษ์ - เต่ายักษ์ (ชลบุรี),Ban Mai Yark - Giant Turtle (Chonburi),Chonburi,central,nature,low,2,1,"hidden_gem, chonburi, nature","Naturally stunning, this site features giant turtles. Located in Chonburi, it is highly rated."
place_065,อุทยานแห่งชาติหมู่เกาะชุมพร,Mu Ko Chumphon National Park,Chumphon,south,"nature, adventure",low,3,0.5,"mangrove forest, suspension bridge, snorkeling, limestone islands, sea view","Mu Ko Chumphon National Park encompasses an archipelago of over 40 islands stretching along Chumphon's coastline, including renowned dive sites at Ko Ngam Yai, Ko Ngam Noi, and Ko Mattra, where coral reefs host colourful marine life. Visitors can explore mangrove trails, snorkel over pristine reefs, and take boat trips to remote limestone islands, making it the crown jewel of nature-based tourism in Chumphon province."
